benchmark_year,period_label,reference_month,frequency,realized_text,forecast_text,difference_text,source_file,source_locator
2018,Total,,annual,"1,039","1,104",-65,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2019,Apr-18,2018-04-01,monthly,318,275,43,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,May-18,2018-05-01,monthly,224,215,9,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,Jun-18,2018-06-01,monthly,126,112,14,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,Jul-18,2018-07-01,monthly,191,171,20,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,Aug-18,2018-08-01,monthly,87,105,-18,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,Sep-18,2018-09-01,monthly,-91,-61,-30,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,Oct-18,2018-10-01,monthly,329,275,54,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,Nov-18,2018-11-01,monthly,-36,-5,-31,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,Dec-18,2018-12-01,monthly,-80,-32,-48,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,Jan-19,2019-01-01,monthly,-161,-175,14,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,Feb-19,2019-02-01,monthly,148,137,11,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,Mar-19,2019-03-01,monthly,23,51,-28,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2019,Total,,annual,"1,078","1,068",10,bls/benchmark/ces-benchmark-revision-2019.pdf,"Table 8, PDF page 14"
2020,Apr-19,2019-04-01,monthly,286,282,4,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2020,May-19,2019-05-01,monthly,220,209,11,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2020,Jun-19,2019-06-01,monthly,71,109,-38,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2020,Jul-19,2019-07-01,monthly,234,186,48,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2020,Aug-19,2019-08-01,monthly,117,95,22,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2020,Sep-19,2019-09-01,monthly,-118,-75,-43,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2020,Oct-19,2019-10-01,monthly,340,304,36,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2020,Nov-19,2019-11-01,monthly,27,-16,43,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2020,Dec-19,2019-12-01,monthly,-58,-52,-6,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2020,Jan-20,2020-01-01,monthly,-140,-145,5,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
2020,Feb-20,2020-02-01,monthly,123,143,-20,bls/benchmark/ces-benchmark-revision-2020.pdf,"Table 8, PDF page 14"
